FILE_NAME,CLUSTER_NUM,CLUSTER_MEMBER,MEMBER_ENERGY,MEMBER_SCORE,SP-dG,Polar,Nonpolar,Inter,Polar15,RMSD,ligand,frame,seed
seed-1-12-0-0-1.crd,0,1,35.479498,35.479498,-8.8884,14.7358,-61.3134,-46.5776,-39.2097,39.4401,Phlorizin,1,seed-1-12-0-0-1
seed-1-15-0-0-1.crd,0,2,37.114682,37.114682,-8.884,14.9715,-61.4189,-46.4474,-38.9616,39.3935,Phlorizin,2,seed-1-15-0-0-1
seed-1-13-1-0-2.crd,0,6,45.422074,45.422074,-8.7061,18.5818,-61.8745,-43.2926,-34.0017,39.3726,Phlorizin,6,seed-1-13-1-0-2
seed-1-3-0-0-1.crd,0,3,39.593452,39.593452,-8.6989,14.7361,-59.3104,-44.5743,-37.2062,39.451,Phlorizin,3,seed-1-3-0-0-1
seed-1-8-0-1-1.crd,14,1,83.952896,83.952896,-8.5828,17.0001,-59.548,-42.5479,-34.0479,39.7656,Baicalin,64,seed-1-8-0-1-1
seed-1-5-1-2-2.crd,2,2,45.939522,45.939522,-8.5765,17.9275,-60.0811,-42.1537,-33.1899,39.3351,Phlorizin,18,seed-1-5-1-2-2
seed-1-7-0-2-1.crd,13,1,49.450179,49.450179,-8.4994,10.1927,-54.2625,-44.0698,-38.9735,38.9716,Phlorizin,73,seed-1-7-0-2-1
seed-1-15-1-0-0.crd,3,1,41.239522,41.239522,-8.453,13.002,-55.5892,-42.5872,-36.0863,40.8096,Phlorizin,25,seed-1-15-1-0-0
seed-1-10-0-2-0.crd,26,1,52.051596,52.051596,-8.4406,16.5362,-57.7439,-41.2077,-32.9396,39.3399,Phlorizin,129,seed-1-10-0-2-0
seed-1-25-0-1-0.crd,1,3,51.494716,51.494716,-8.439,15.4027,-56.9944,-41.5917,-33.8904,41.3603,Isoorientin,11,seed-1-25-0-1-0
