FILE_NAME,CLUSTER_NUM,CLUSTER_MEMBER,MEMBER_ENERGY,MEMBER_SCORE,SP-dG,Polar,Nonpolar,Inter,Polar15,RMSD,ligand,frame,seed
seed-1-12-0-0-1.crd,0,1,35.479498,35.479498,-8.8884,14.7358,-61.3134,-46.5776,-39.2097,39.4401,Phlorizin,1,seed-1-12-0-0-1
seed-1-8-0-1-1.crd,14,1,83.952896,83.952896,-8.5828,17.0001,-59.548,-42.5479,-34.0479,39.7656,Baicalin,64,seed-1-8-0-1-1
seed-1-25-0-1-0.crd,1,3,51.494716,51.494716,-8.439,15.4027,-56.9944,-41.5917,-33.8904,41.3603,Isoorientin,11,seed-1-25-0-1-0
seed-1-4-1-2-1.crd,0,2,-2.070439,-2.070439,-8.1585,9.4614,-50.1855,-40.7241,-35.9934,36.2352,Myricetin,2,seed-1-4-1-2-1
seed-1-11-1-2-1.crd,0,2,11.593582,11.593582,-8.0863,8.4847,-48.7904,-40.3056,-36.0633,36.2252,Robinetin,2,seed-1-11-1-2-1
seed-1-6-0-0-0.crd,2,1,-19.021354,-19.021354,-7.9125,9.7969,-47.8015,-38.0046,-33.1062,35.5411,Tricetin,17,seed-1-6-0-0-0
seed-1-16-1-2-0.crd,1,1,-33.258005,-33.258005,-7.704,11.4071,-46.6397,-35.2326,-29.529,41.3026,Farrerol,9,seed-1-16-1-2-0
seed-1-11-1-2-3.crd,4,2,-1.134406,-1.134406,-7.5888,10.3117,-44.7135,-34.4018,-29.246,41.7641,Scutellarein,34,seed-1-11-1-2-3
seed-1-17-0-1-0.crd,0,1,4.585278,4.585278,-7.5836,9.9125,-44.3996,-34.4872,-29.5309,40.7344,Baicalein,1,seed-1-17-0-1-0
seed-1-16-1-0-3.crd,1,2,-12.823797,-12.823797,-7.4394,9.0212,-42.299,-33.2778,-28.7672,41.2986,Chrysin,10,seed-1-16-1-0-3
